1117::Carl Davis
1118::Carl Duering
1119::Carl Esmond
1120::Carl Foreman
1121::Carl Mayer
1122::Carl Miller
1123::Carl Steven
1124::Carl Weathers
1125::Carla Bruni
1126::Carla Gallo
1127::Carla Gugino
1128::Carla Hidalgo
1129::Carla Quevedo
1130::Carles Gusi
1131::Carles Sans
1132::Carleton Young
1133::Carlo Bernard
1134::Carlo Di Palma
1135::Carlo Montuori
1136::Carlo Varini
1137::Carlos Areces
1138::Carlos Bardem
1139::Carlos Faemino
1140::Carlos Iglesias
1141::Carlos Latre
1142::Carlos Lauchu
1143::Carlos Lozano
1144::Carlos Lucas
1145::Carlos Miranda
1146::Carlos Perea
1147::Carlos Pumares
1148::Carlos Rivas
1149::Carlos Saldanha
1150::Carlos Sanz
1151::Carlos Suárez
1152::Carmela Zumbado
1153::Carmen Argenziano
1154::Carmen Dragon
1155::Carmen Ejogo
1156::Carmen Electra
1157::Carmen Elías
1158::Carmen Llywelyn
1159::Carmen Maura
1160::Carmen de Lirio
1161::Carmen de Mairena
1162::Carmen de la Maza
1163::Carmine Coppola
1164::Carol Burnett
1165::Carol Cleveland
1166::Carol Florence
1167::Carol Fuchs
1168::Carol Kane
1169::Carol Lazare
1170::Carol Lynley
1171::Carol Reed
1172::Carol Salvador
1173::Carol Sobieski
1174::Carol Yorke
1175::Carole Franck
1176::Carole Lombard
1177::Carole Shelley
1178::Carolina Bona
1179::Caroline Aaron
1180::Caroline Blakiston
1181::Caroline Goodall
1182::Caroline Hunt
1183::Caroline Thompson
1184::Carolyn Jones
1185::Carrie Fisher
1186::Carrie Henn
1187::Carrie Preston
1188::Carrie Snodgress
1189::Carrie-Anne Moss
1190::Carroll Baker
1191::Carroll Cartwright
1192::Carter Burwell
1193::Carter De Haven
1194::Caruso Kuypers
1195::Cary Elwes
1196::Cary Grant
1197::Cary Guffey
1198::Cary Joji Fukunaga
1199::Cary-Hiroyuki Tagawa
1200::Cas Anvar
1201::Casey Affleck
1202::Casey Siemaszko
1203::Casper Van Dien
1204::Caspian Tredwell-Owen
1205::Cassandra Gaviola
1206::Cassen
1207::Castulo Guerra
1208::Catalina Sandino Moreno
1209::Cate Blanchett
1210::Caterina Murino
1211::Catherine Allegret
1212::Catherine Bell
1213::Catherine Deneuve
1214::Catherine Frot
1215::Catherine Hardwicke
1216::Catherine Johnson
1217::Catherine Keener
1218::Catherine Lambert
1219::Catherine Lough Haggquist
1220::Catherine McCormack
1221::Catherine O'Hara
1222::Catherine Salée
1223::Catherine Zeta-Jones
1224::Cathleen Nesbitt
1225::Cathy Downs
1226::Cathy Moriarty
1227::Cathy O'Donnell
1228::Cathy Yuspa
1229::Cayetana Guillén Cuervo
1230::Cañita Brava
1231::Cecil B. DeMille
1232::Cecilia Roth
1233::Cedric the Entertainer
1234::CeeLo Green
1235::Celeste Holm
1236::Celia Imrie
1237::Celia Johnson
1238::Celia Weston
1239::Celso Bugallo
1240::Cerris Morgan-Moyer
1241::Cesare Zavattini
1242::Cha Tae-Hyun
1243::Chad Lindberg
1244::Chad R. Davis
1245::Chaim Girafi
1246::Chan Man-Lui
1247::Chance Quinn
1248::Chance Romero
1249::Chang Chen
1250::Channing Tatum
1251::Chantal Neuwirth
1252::Chapelle Jaffe
1253::Charisma Carpenter
1254::Charissa Allen
1255::Charlene Holt
1256::Charles 'Honi' Coles
1257::Charles Bickford
1258::Charles Boswell
1259::Charles Boyer
1260::Charles Brackett
1261::Charles Bronson
1262::Charles Chaplin
1263::Charles Coburn
1264::Charles Crichton
1265::Charles Dance
1266::Charles Drake
1267::Charles Durning
1268::Charles Edward Pogue
1269::Charles Fleischer
1270::Charles Grapewin
1271::Charles Gray
1272::Charles Hallahan
1273::Charles Halton
1274::Charles Kay
1275::Charles Kemper
1276::Charles Lang
1277::Charles Lang Jr.
1278::Charles Laughton
1279::Charles Lawton Jr.
